author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
ЮРИСТ  отд.,real_estate_agent,https://spb.cian.ru/rent/flat/318721837/,Санкт-Петербург,rent,flat,19,22,1,33.0,30000,0,Пушкинский, Вишерская,1к1,Купчино
ЭксперТ,real_estate_agent,https://spb.cian.ru/rent/flat/318021631/,Санкт-Петербург,rent,flat,4,8,1,23.0,28000,0,Колпинский,проспект Ленина,60,Шушары
ID 98075865,realtor,https://spb.cian.ru/rent/flat/318954759/,Санкт-Петербург,rent,flat,7,17,1,42.0,30000,0,Невский, Латышских Стрелков,15к3,Ладожская
Наталья Мананникова,realtor,https://spb.cian.ru/rent/flat/303200504/,Санкт-Петербург,rent,flat,10,16,1,40.0,23000,0,Красносельский, Коммунаров,188к1,Ленинский проспект
ЭксперТ,real_estate_agent,https://spb.cian.ru/rent/flat/290311080/,Санкт-Петербург,rent,flat,7,12,1,34.0,23000,0,Колпинский, Севастьянова,28к1,Рыбацкое
Итака,real_estate_agent,https://spb.cian.ru/rent/flat/317965818/,Санкт-Петербург,rent,flat,8,9,1,31.3,30000,0,Красногвардейский,Заневский проспект,28-30-32,Новочеркасская
Александр Пьянков,realtor,https://spb.cian.ru/rent/flat/298206257/,Санкт-Петербург,rent,flat,4,5,1,32.0,30000,0,Невский, Шелгунова,29,Пролетарская
НЕДВИЖИМОСТЬ Петербургский Центр,real_estate_agent,https://spb.cian.ru/rent/flat/318620159/,Санкт-Петербург,rent,flat,4,8,1,34.3,30000,0,Красносельский,проспект Буденного,23к1,Проспект Ветеранов
ID 53685060,homeowner,https://spb.cian.ru/rent/flat/318954632/,Санкт-Петербург,rent,flat,1,14,1,36.0,29000,0,Красногвардейский,Полюстрово,11к1,Девяткино
Валентин Витковский,realtor,https://spb.cian.ru/rent/flat/307888775/,Санкт-Петербург,rent,flat,8,12,1,35.0,30000,0,Кировский,Ленинский проспект,117К1,Ленинский проспект
Большой Дом,real_estate_agent,https://spb.cian.ru/rent/flat/318679889/,Санкт-Петербург,rent,flat,7,16,1,38.0,30000,0,Невский, Крыленко,1к1с5,Ломоносовская
ID 247238,unknown,https://spb.cian.ru/rent/flat/281144513/,Санкт-Петербург,rent,flat,6,21,1,24.0,24000,0,Приморский, Плесецкая,10,Комендантский проспект
Юлия Садарова,realtor,https://spb.cian.ru/rent/flat/316787304/,Санкт-Петербург,rent,flat,17,21,1,37.0,28000,0,Пушкинский,проспект Новгородский,6,Купчино
ОРИАННА,real_estate_agent,https://spb.cian.ru/rent/flat/309500957/,Санкт-Петербург,rent,flat,4,10,1,32.3,25000,0,Красносельский,проспект Кузнецова,25К1,Ленинский проспект
АРИН,real_estate_agent,https://spb.cian.ru/rent/flat/318722329/,Санкт-Петербург,rent,flat,8,9,1,30.0,27000,0,Фрунзенский, Димитрова,10К1,Проспект Славы
Рудаков-Н,real_estate_agent,https://spb.cian.ru/rent/flat/306330782/,Санкт-Петербург,rent,flat,5,12,1,38.9,29000,0,Приморский, Маршала Новикова,9,Комендантский проспект
Будь первым,real_estate_agent,https://spb.cian.ru/rent/flat/317968847/,Санкт-Петербург,rent,flat,1,7,1,31.5,27000,0,Калининский, Софьи Ковалевской,3К4,Академическая
VSN (Весь Спектр Недвижимости),real_estate_agent,https://spb.cian.ru/rent/flat/305374715/,Санкт-Петербург,rent,flat,6,12,1,30.0,30000,0,Выборгский,проспект Просвещения,22К1,Проспект Просвещения
Антонина Бригис,realtor,https://spb.cian.ru/rent/flat/302541652/,Санкт-Петербург,rent,flat,12,18,1,38.0,25000,0,Красногвардейский,проспект Маршака,16к4,Девяткино
Агентство недвижимости Яны Румак,real_estate_agent,https://spb.cian.ru/rent/flat/316729965/,Санкт-Петербург,rent,flat,10,24,1,35.0,28000,0,Приморский,аллея Арцеуловская,17,Комендантский проспект
ID 105059459,homeowner,https://spb.cian.ru/rent/flat/318502275/,Санкт-Петербург,rent,flat,1,5,1,34.0,27000,0,Калининский, Руставели,20,Академическая
Лилия Зиннатуллина,realtor,https://spb.cian.ru/rent/flat/314121170/,Санкт-Петербург,rent,flat,3,20,1,36.0,25000,0,Невский,проспект Большевиков,68к1,Ломоносовская
Артем Науменко,realtor,https://spb.cian.ru/rent/flat/318442223/,Санкт-Петербург,rent,flat,3,5,1,40.0,30000,0,Пушкинский, Нины Петровой,8к1,Купчино
Экотон,real_estate_agent,https://spb.cian.ru/rent/flat/318933446/,Санкт-Петербург,rent,flat,2,9,1,34.0,28000,0,Московский,Звездная ,14,Звездная
Сергей Балдов,realtor,https://spb.cian.ru/rent/flat/305266959/,Санкт-Петербург,rent,flat,14,18,1,38.0,30000,0,Невский,Народная ,11к2,Ломоносовская
Будь первым,real_estate_agent,https://spb.cian.ru/rent/flat/318003951/,Санкт-Петербург,rent,flat,3,9,1,30.0,30000,0,Выборгский, Кустодиева,16К1,Проспект Просвещения
Сергей Шапкин,realtor,https://spb.cian.ru/rent/flat/318366984/,Санкт-Петербург,rent,flat,23,25,1,38.0,25000,0,Красносельский, Маршала Казакова,84к1,Автово
Витольд Матусевич,realtor,https://spb.cian.ru/rent/flat/318704766/,Санкт-Петербург,rent,flat,4,9,1,35.0,30000,0,Кировский, Солдата Корзуна,50,Проспект Ветеранов
